0.6237623762376238,0.6039603960396039,0.6435643564356436,0.5346534653465347,0.48514851485148514,0.49504950495049505,
0.7326732673267327,0.7722772277227723,0.7227722772277227,0.504950495049505,0.48514851485148514,0.5643564356435643,
0.6831683168316832,0.6435643564356436,0.7029702970297029,0.40594059405940597,0.4752475247524752,0.46534653465346537,
0.65,0.64,0.66,0.5,0.47,0.53,
0.73,0.69,0.73,0.5,0.5,0.53,
0.65,0.7,0.74,0.49,0.44,0.5,
0.75,0.75,0.73,0.47,0.54,0.49,
0.74,0.73,0.72,0.49,0.54,0.54,
0.67,0.69,0.64,0.44,0.48,0.54,
0.66,0.69,0.62,0.43,0.49,0.46,
