Name,antibacterial ,antifungal,other function,target,class ,species,target types,BGC_id,
etnangien,yes,,,retroviral DNA polymerase,pk,sorangium,gram pos,BGC0000179,
exochelin,,,siderophore,,nrp,,,BGC0000351,
exopolysaccharide,,,bioemulsifier,,saccharide,methylobacillus,,BGC0000761,
exopolysaccharide_2,,,bioemulsifier,,saccharide,rhizobium,,BGC0000762,
exopolysaccharide_3,,,biofilm,,saccharide,lactococcus,,BGC0000764,
exopolysaccharide_4,,,biofilm,,saccharide,lactococcus,,BGC0000765,
exopolysaccharide_5,,,biofilm,,saccharide,lactococcus,,BGC0000766,
exopolysaccharide_6,,,biofilm,,saccharide,lactococcus,,BGC0000767,
FD_594,yes,,antitumor; cytotoxic,,pk,,gram pos,BGC0000222,
FD_891,,,antitumor; cytotoxic,,pk,,,BGC0000058,
feglymycin,yes,,anti-HIV,,nrp,streptomyces,gram pos,BGC0001233,
fengycin,,yes,,,nrp,,,BGC0001095,
filipin,,yes,,,pk,,,BGC0000059,
fimsbactin,,,siderophore,,nrp,acinetobacter,,BGC0000352,
FK228,,yes,cytotoxic,,nrp pk,,,BGC0000993,
FK506,,yes,immunosuppresor,,nrp,,,BGC0000353,
FK520,,yes,immunosuppresor; neurotrophic,,nrp pk,streptomyces,,BGC0000994,
flavecins,yes,,,,ripp,,gram pos,BGC0001311,
flaviolin,,,unknown,,other,saccharopolyspora,,BGC0000902,
flexirubin,,,unknown,,other,,,BGC0000839,
flexirubin_2,,,antioxidant; pigment,,pk,flavobacterium,,BGC0000838,
fluorometabolite,,,unknown,,other,streptomyces,,BGC0000903,
flustatin,,,unknown,,pk,uncultured,?,BGC0000223,
fortimicin,yes,,,,saccharide,micromonospora,gram neg; gram pos,BGC0000695,
fosfazinomycin,,yes,,,other,streptomyces,,BGC0000937,
fosfomycin,yes,,,MurA,other,,gram pos; gram neg,BGC0000938,
fostriecin,,,antitumor; cytotoxic,topoisomerase,pk,,,BGC0000060,
FR_008,,yes,,,pk,,,BGC0000061,
FR900098,yes,,antimalarial,,other,streptomyces,gram pos; gram neg,BGC0000904,
FR901464,,,antitumor; cytotoxic,spliceosome,nrp pk,pseudomonas,,BGC0000995,
FR901464_2,,,antitumor; cytotoxic,spliceosome,nrp pk,pseudomonas,,BGC0001096,
frankiamicin,yes,,,,pk,frankia,gram pos,BGC0001197,
fredericamycin,yes,yes,cytotoxic,,pk,streptomyces,gram pos,BGC0000224,
frenolicin,yes,yes,,,pk,,gram pos,BGC0000225,
friulimicin,yes,,,cell wall,nrp,,gram pos,BGC0000354,
frontalamide,,yes,,,nrp pk,,,BGC0000996,
furaquinocin_a,,,antitumor; cytotoxic,,pk,streptomyces,,BGC0001078,
fusaricidin,,yes,,,nrp,,,BGC0001152,
fusaricidin_2,,yes,,,nrp,,,BGC0000358,
fuscachelin,,,siderophore,,nrp,,,BGC0000359,
galactoglucan,,,cell wall,,saccharide,sinorhizobium,,BGC0000801,
galbonolides,,yes,,inositol phosphoceramide synthase,polyketide,streptomyces,,BGC0000065,
gallidermin,yes,,,,ripp,,gram pos,BGC0000514,
gamma_butyrolactone,,,signaling,,other,,,BGC0000849,
gamma_butyrolactone_2,,,autoregulation pathways,,other,streptomyces,,BGC0000850,
garvicin_ml,yes,,,,ripp,,gram pos,BGC0000490,
gassericin_a,yes,,,,ripp,,gram pos,BGC0000491,
gassericin_e,yes,,phytotoxic,,ripp,lactobacillus,gram pos,BGC0001388,
gassericin_t,yes,,,,ripp,lactobacillus,gram pos,BGC0000619,
GE2270,yes,,,EF-Tu,ripp,,gram pos,BGC0000604,
GE2270_2,yes,,,EF-Tu,ripp,,gram pos,BGC0001155,
GE37468,yes,,,EF-Tu,ripp,streptomyces,gram pos,BGC0000605,
GE81112,yes,,,protein synthesis,nrp,,gram pos; gram neg,BGC0000360,
geldanamycin,,yes,antitumor; cytotoxic,hsp90,pk,,,BGC0000066,
geldanamycin_2,,yes,antitumor; cytotoxic,hsp90,pk,,,BGC0000068,
geldanamycin_3,,yes,antitumor; cytotoxic,hsp90,pk,,,BGC0000067,
gellan_polysaccharide,,,biofilm,,saccharide,sphingomonas,,BGC0000768,
gentamicin,yes,,,,saccharide,micromonospora,gram neg; gram pos,BGC0000696,
gentamicin_2,yes,,,,saccharide,micromonospora,gram neg; gram pos,BGC0000697,
geobacillin,yes,,,lipid II,ripp,,gram pos,BGC0000515,
geobacillin_ii,yes,,,,ripp,,gram pos,BGC0000516,
geosmin,,,taste; odor,,terpene,nostoc,,BGC0000661,
gephyronic_acid,,yes,antitumor; cytotoxic,,pk,,,BGC0000069,
gg_exopolysaccharide,,,cell wall,,saccharide,lactobacillus,,BGC0000803,
glidobactin,,yes,cytotoxic; antitumor,,nrp pk,polyangium,,BGC0000997,
glivocarcin,yes,yes,antitumor; cytotoxic,,pk,,?,BGC0000226,
glycocin_f,yes,,,,ripp,,gram pos,BGC0000484,
glycopeptidolipid,,,membrane,,nrp,,,BGC0000362,
glycopeptidolipid_1,,,membrane,,nrp,,,BGC0000363,
glycopeptidolipid_2,,,membrane,,nrp,,,BGC0000364,
glycopeptidolipid_3,,,membrane,,nrp,,,BGC0000365,
glycopeptidolipid_4,,,membrane,,saccharide,mycobacterium,,BGC0000769,
goadsporin,yes,,morphogenesis,,ripp,streptomyces,gram pos,BGC0000565,
gobichelin,,,siderophore,,nrp,,,BGC0000366,
gramicidin,yes,,,,nrp,,gram pos; gram neg,BGC0000367,
granaticin,yes,,,,pk,streptomyces,gram pos,BGC0000227,
granaticin_2,yes,,,,pk,,?,BGC0000228,
grincamycin,,,cytotoxic,er,pk saccharide,,,BGC0000229,
griselimycin,yes,,,,nrp,streptomyces,gram pos; mycobacterium,BGC0001414,
grisemycin,,,no antimicrobial detected,,ripp,,,BGC0000583,
griseobactin,,,siderophore,,nrp,,,BGC0000368,
griseorhondin,?,,cytotoxic; human telomerase inhbitor,,pk,streptomyces,?,BGC0000230,
griseoviridin,yes,yes,,ribosome,nrp pk,streptomyces,gram pos,BGC0000459,
griseusin,,yes,cytotoxic; antitumor,,pk,,,BGC0000231,
grixazone,,,unknown,,terpene,streptomyces,,BGC0000662,
guadinomine,,,anti-infective,type iii secretion system,nrp pk,streptomyces,gram neg,BGC0000998,
haliamide,,,cytotoxic; antitumor,,nrp pk,haliangium,,BGC0001367,
haloduracin,yes,,,lipid II; pore formation,ripp,,gram pos,BGC0000517,
halstoctacosanolide,,,unknown,,pk,,,BGC0000073,
hassallidins,,yes,,,nrp saccharide,anabaena,,BGC0000369,
hatomarubigin,,,cytotoxic; antitumor,,pk,,,BGC0000232,
heat_stable_antifungal_factor,,yes,,sphingolipid synthesis,nrp pk,lysobacter,,BGC0000999,
hectochlorin,,yes,cytotoxic,,nrp pk,,,BGC0001000,
hedamycin,yes,,cytotoxic; antitumor,DNA,pk,,,BGC0000233,
heme_d1,,,denitrification,,other,heliobacillus,,BGC0000905,
heme_d1_2,,,denitrification,,other,heliophilum,,BGC0000906,
heptadecene,,,other,,pk,,,BGC0001161,
herbimycin,,,herbicide; antitumor; cytotoxic,,pk,,,BGC0000074,
herboxidiene,yes,,anticholesterol; phytotoxic; cytotoxic; antitumor,,pk,streptomyces,gram pos,BGC0001065,
heronamide,,,eukaryotic morphology change; unknown,,nrp pk,streptomyces,,BGC0001349,
heterobactin,,,siderophore,,nrp,,,BGC0000371,
heterocyst_glycolipids,,,protection against O2 penetration,,other,nostoc,,BGC0000869,
hexaricin,,,unknown,,pk,streptosporangium,,BGC0001376,
himastatin,yes,,antitumor; cytotoxic,,nrp,streptomyces,gram pos,BGC0001117,
hitachimycin,yes,yes,cytotoxic,,pk,streptomyces,gram pos,BGC0001194,
holomycin,yes,yes,antitumor; cytotoxic,rna synthesis,nrp,,gram pos; gram neg,BGC0000373,
hopene,,,unknown,,terpene,streptomyces,,BGC0000663,
hormaomycin,yes,,signaling,,nrp,streptomyces,gram pos,BGC0000374,
hydroxysporine,,yes,antitumor,,other,,,BGC0001223,
hygrocin,yes,yes,,,pk,,?,BGC0000075,
hygromycin_a,yes,,,,saccharide,streptomyces,gram neg; gram pos,BGC0000698,
hygromycin_b,yes,yes,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000699,
ikarugamycin,yes,yes,,,nrp pk,,gram pos,BGC0001435,
incednine,,,antitumor,,pk,,,BGC0000078,
indanomycin,yes,anti-insect,ionophore,,pk,,gram pos,BGC0000079,
indigoidine,yes,,,,nrp,,gram neg,BGC0000375,
indolmycin,yes,,,trp tRNA synthetase,other,streptomyces,gram pos; gram neg,BGC0001206,
informatipeptin,,,unknown,,ripp,,,BGC0000518,
isopropylstilbene,yes,yes,signaling,,other,,gram pos,BGC0001180,
isorenieratene,,,antioxidant,,terpene,streptomyces,,BGC0000664,
isorenieratene_2,,,antioxidant,,terpene,streptomyces,,BGC0001227,
istamycin,yes,,,,saccharide,streptomyces,gram neg; gram pos,BGC0000700,
iturin,,yes,,,nrp pk,bacillus,,BGC0001098,
jadomycin,yes,,,,pk,,gram pos,BGC0000234,
jagaricin,,yes,virulence,,nrp,janthinobacterium,,BGC0001127,
jawsamycin,,yes,,,nrp pk,streptomyces,,BGC0001002,
JBIR_100,yes,yes,,,pk,,gram pos,BGC0001348,
JBIR_34,not observed,,radical scavanging,,nrp,,,BGC0000376,
JBIR_76,,,cytotoxic,,pk,streptomyces,,BGC0001386,
jerangolid,,yes,,,pk,,,BGC0000080,
jinggangmycin,,yes,,,saccharide,streptomyces,,BGC0000701,
jmaicamide,,,toxin,sodium channel,nrp pk,,,BGC0001001,
k_252a,,,antitumor; unknown,protein kinase C,alkaloid,nonomuraea,,BGC0000813,
K_252a_2,,,antitumor; unknown,protein kinase C,alkaloid,nonomuraea,,BGC0000814,
kalimantacin,yes,,,FabI,nrp pk,,gram pos,BGC0001099,
kanamycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000702,
kanamycin_2,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000703,
kanamycin_3,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000704,
kanamycin_4,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000705,
kanamycin_5,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000706,
kasugamycin,yes,yes,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000707,
kedarcidin,yes,,cytotoxic,DNA,polyketide,streptoalloteichus,gram pos,BGC0000081,
kendomycin,yes,,cytotoxic,,pk,,gram pos; gram neg,BGC0001066,
kiamycin,,,cytotoxic; antitumor,,pk,,,BGC0000235,
kiamycin_2,,,cytotoxic; antitumor,,pk,,,BGC0000236,
kijanimicin,yes,,,,pk,,gram pos,BGC0000082,
kirromycin,yes,,,EF-Tu,nrp pk,,gram pos; gram neg,BGC0001070,
koranimine,,,unknown,,nrp,,,BGC0000377,
kosinostatin,yes,yes,antitumor,,nrp pk,micromonospora,gram pos; gram neg,BGC0001073,
KS_505a,,,unknown,,terpene,streptomyces,,BGC0000651,
kutznerides,,yes,,,nrp,,,BGC0000378,
labyrinthopeptin,,,anti-HIV; unknown,,ripp,,,BGC0000519,
lactazole,no,,,,ripp,streptomyces,,BGC0000606,
lacticin,yes,,,membrane,ripp,,gram pos; ?,BGC0000520,
lacticin_2,yes,,,membrane,ripp,,gram pos,BGC0000521,
lacticin_q,yes,,,membrane,ripp,lactococcus,gram pos,BGC0000620,
lacticin_z,yes,,,,ripp,,gram pos,BGC0000522,
lactimidomycin,,yes,cytotoxic,ribosome,polyketide,streptomyces,,BGC0000081,
lactimidomycin,,yes,cytotoxic,ribosome,pk,streptomyces,,BGC0000083,
lactocillin,yes,,,ribosome,ripp,,gram pos,BGC0000628,
lactocin_s,yes,,,,ripp,,gram pos,BGC0000523,
lactomycin,yes,,,,pk,,gram pos,BGC0000238,
lactomycin_z,yes,,,,pk,,gram pos,BGC0000237,
laidlomycin,yes,,antitumor,,pk,,gram pos,BGC0000084,
landepoxcin,,,unknown,proteasome,nrp pk,,,BGC0001202,
landomycin,yes,,cytotoxic,dna synthesis,pk saccharide,streptomyces,?,BGC0000239,
lankacidin,yes,,antitumor,,nrp pk,streptomyces,gram pos,BGC0001100,
lankamycin,yes,,antitumor,ribosome,pk,,gram pos,BGC0000085,
lariatin,yes,,,,ripp,rhodococcus,mycobacterium,BGC0000575,
lasalocid,yes,,antiparasite,,pk,,gram pos,BGC0000086,
laspartomycin,yes,,,,nrp,,gram pos,BGC0000379,
lazarimide,,,cytotoxic,,alkaloid,,,BGC0001337,
legioliulin,,some coumarins have antifungal activity,fluorophore; unknown,,pk,legionella,,BGC0000180,
legonaridin,,,unknown,,ripp,streptomyces,,BGC0001188,
leinamycin,yes,,cytotoxic,DNA,nrp pk,,gram pos; gram neg,BGC0001101,
leucanicidin,,,insecticide,,pk,kitasatospora,,BGC0001232,
leupyrrin,,yes,,,nrp pk,sorangium,,BGC0000380,
lichenicidin_vk21_a1,yes,,,,ripp,,gram pos,BGC0000525,
lichenysin,yes,,cytotoxic; surfactant,,nrp,,gram pos; gram neg,BGC0000381,
lidamycin,yes,,antitumor,,nrp pk,streptomyces,gram pos,BGC0001397,
lincomycin,yes,,,,other,streptomyces,gram pos,BGC0000907,
lipomycin,yes,,,,nrp pk,,gram pos,BGC0001003,
lipooligosaccharide,,,membrane,,saccharide,campylobacter,,BGC0000770,
lipooligosaccharide_2,,,membrane,,saccharide,campylobacter,,BGC0000771,
lipopeptide_8D11,,,,,nrp,streptomyces,,BGC0001370,
lipopolysaccharide,,,membrane,,saccharide,brucella,,BGC0000772,
lipopolysaccharide_2,,,membrane,,saccharide,brucella,,BGC0000773,
lipopolysaccharide_3,,,membrane,,saccharide,legionella,,BGC0000775,
lipopolysaccharide_4,,,membrane,,saccharide,escherichia,,BGC0000776,
lipopolysaccharide_5,,,membrane,,saccharide,escherichia,,BGC0000777,
lipopolysaccharide_6,,,membrane,,saccharide,aeromonas,,BGC0000778,
lipopolysaccharide_7,,,membrane,,saccharide,aeromonas,,BGC0000779,
lipopolysaccharide_oligosaccharide,,,capsule,,saccharide,salmonella,,BGC0000793,
liposidomycin,yes,,,translocase,nucleoside,,gram pos,BGC0001076,
lipstatin,,,,human pancreatic lipase,nrp,,,BGC0000382,
listeriolysin_s,,,cytotoxic,,ripp,,,BGC0001171,
lividomycinn,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos,BGC0000708,
livipeptin,,,protease inhibitor,trypsin,nrp,,,BGC0001168,
lobophorin,yes,,cytotoxic,,pk,,gram pos,BGC0001004,
lobophorin_2,yes,,cytotoxic,,pk,streptomyces,gram pos,BGC0001183,
lobosamide,,,anti-parasite,,pk,micromonaspora,,BGC0001303,
locillomycin,yes,yes,antiviral,,nrp pk,bacillus,?,BGC0001005,
lomaiviticin,yes,,cytotoxic,dna,pk saccharide,salinispora,gram pos,BGC0000240,
lomofungin,yes,yes,antitumor; anti-parasite,,other,streptomyces,gram pos; gram neg,BGC0001302,
lorenic_acid_a,,,unknown,,pk,streptomyces,,BGC0001200,
lugdunin,yes,,,,nrp,staphylococcus,gram pos,BGC0001393,
luminmide,,,unknown,,nrp,photorhabdus,,BGC0001128,
luminmycin,,,cytotoxic,proteasome,nrp pk,photorhabdus,,BGC0000383,
lymphostin,,,immunosuppresor,mTOR,nrp pk,,,BGC0001006,
lymphostin_2,,,immunosuppresor,mTOR,nrp pk,,,BGC0001007,
lyngbyatoxin,,,cytotoxic,protein kinas C,nrp,lyngbya,,BGC0000384,
lysobactin,yes,,,,nrp,,gram pos,BGC0000385,
lysolipin,yes,,,,pk,,gram pos; gram neg,BGC0000242,
macedocin,yes,,,,ripp,,gram pos,BGC0000526,
macrolactin,yes,yes,,,pk,bacillus,gram pos,BGC0000181,
macrolactin_2,yes,,,,pk,jeotgalibacillus,gram pos,BGC0001383,
macrotetrolide,yes,,,,pk,,gram pos,BGC0000243,
macrotetrolide_2,yes,,,,pk,,gram pos,BGC0000244,
maduropeptin,yes,,antitumor; antioxidant,,pk,,gram pos,BGC0001008,
maklamicin,yes,,,,pk,micromonaspora,gram pos,BGC0001288,
malleilactone,yes,,siderophore; virulence factor; cytotoxic,,nrp pk,,gram pos,BGC0001102,
malleobactin,,,siderophore,,nrp,bulkholdaria,,BGC0000386,
mangotoxin,,,phytotoxin,,nrp,,,BGC0000387,
mannopeptimycin,yes,,,,nrp,,gram pos,BGC0000388,
marformycins,yes,,anti-infective,,nrp,streptomyces,?,BGC0001214,
marinacarboline,,,antitumor; cytotoxic; antiplasmodium,,alkaloid,,,BGC0001137,
marineosin,,,cytotoxic; antitumor,,pk,,,BGC0000091,
marinophenazines,,,cytotoxic,,other,,,BGC0001221,
marinopyrrole,yes,,,,nrp,,gram pos,BGC0001159,
marinostatin,,,,protease inhibitor,ripp,alteromonas,,BGC0000591,
massetolide,,yes,surfactant,,nrp,pseudomonas,,BGC0000389,
matylstatins,,,virulence factor inhbitor,collogenase,nrp,,,BGC0001443,
medermycin,yes,,antitumor,,pk,,gram pos; gram neg,BGC0000245,
megacin,yes,,,,ripp,,gram pos,,
megacin_2,yes,,,,ripp,bacillus,gram pos,BGC0000622,
megalomicin,yes,,antiparasite; antiviral,,pk,,gram pos; gram neg,BGC0000092,
meilingmycin,,,antiparasite; unknown,,pk,,,BGC0000093,
melanin,,,unknown; virulence; interaction with host,,other,streptomyces,,BGC0000908,
melanin_2,,,unknown; virulence; interaction with host,,other,streptomyces,,BGC0000909,
melanin_3,,,unknown; virulence; interaction with host,,other,streptomyces,,BGC0000910,
melanin_4,,,unknown; virulence; interaction with host,,other,streptomyces,,BGC0000911,
melanin_5,,,unknown; virulence; interaction with host,,other,streptomyces,,BGC0000912,
melithiazol,,yes,cytotoxic,,nrp pk,,,BGC0001010,
melithiazol_2,,yes,cytotoxic,,nrp pk,melittangium,,BGC0001009,
menaquinone,,,electron transport,,other,enterobacter,,BGC0000913,
mensacaricin,,,cytotoxic,,pk,,,BGC0001177,
meridamycin,,,neuroprotectant; unknown,,nrp pk,streptomyces,,BGC0001011,
meridamycin_2,,,neuroprotectant; unknown,,nrp pk,streptomyces,,BGC0001012,
meridamycin_3,,,neuroprotectant; unknown,,nrp pk,streptomyces,,BGC0001013,
merochlorin,yes,,,,pk,,gram pos,BGC0001083,
mersacidin,yes,,,,ripp,,gram pos,BGC0000527,
metatricycloene,,,unknown,,pk,,,BGC0001369,
methylarcyriarubin,,,cytotoxic,,alkaloid,,,BGC0000817,
methylenomycin,yes,,,,other,streptomyces,gram pos; gram neg,BGC0000914,
methylpendolmycin,,,unknown,,nrp,marinactinospora,?,BGC0000391,
micacocidin,yes,,siderophore,,nrp pk,,mycoplasma,BGC0001014,
michiganin_a,yes,,,,ripp,,gram pos (very narrow),BGC0000528,
microbisporicin,yes,,,lipid II,ripp,,gram pos,BGC0000529,
microcin_b17,yes,,,dna gyrase,ripp,escherichia,gram neg,BGC0000568,
microcin_c7,yes,,,translation,ripp,escherichia,gram neg,BGC0000585,
microcin_e492,yes,,,pore forming,ripp,klebsiella,gram neg,BGC0000586,
microcin_h47,yes,,siderophore,,ripp,escherichia,gram neg,BGC0000587,
microcin_j25,yes,,,,ripp,escherichia,gram neg,BGC0000581,
microcin_l,,,unknown,,ripp,escherichia,,BGC0000588,
microcin_m,yes,,siderophore,,ripp,escherichia,gram neg,BGC0000589,
microcin_n,yes,,,,ripp,escherichia,gram neg,BGC0000590,
micrococcin_p1,yes,,,ribosome,ripp,macrococcus,gram pos,BGC0000607,
microcylamide,,,unknown,,ripp,microcystis,,BGC0000473,
microcylamide_2,,,unknown,,ripp,microcystis,,BGC0000474,
microcystin,,,cytotoxic,phosphatase,nrp pk,,,BGC0001016,
microcystin_2,,,cytotoxic,phosphatase,nrp pk,,,BGC0001017,
microcystin_3,,,cytotoxic,phosphatase,nrp pk,planktothrix,,BGC0001015,
micropeptin_k139,,,unknown,,nrp pk,mycrocystis,,BGC0001018,
microsclerodermins,,yes,,,nrp pk,,,BGC0001019,
microsclerodermins_2,,yes,,,nrp,,,BGC0001231,
microvidin_2,,,,protease inhibitor,ripp,,,BGC0000593,
microviridin,,,,elastase,ripp,,,BGC0000592,
microviridin_k,,,,peptidase inhibitor,ripp,planktothrix,,BGC0000594,
midecamycin,yes,,,ribosome,pk,,gram pos; gram neg,BGC0000096,
migrastatin,,yes,cytotoxic,,pk,streptomyces,,BGC0000177,
mildiomycin,,yes,,,other,streptomyces,,BGC0000882,
mirubactin,,,siderophore,,nrp,,,BGC0000392,
misakinolide,,,unknown,,pk,candidatus,,BGC0001186,
mithramycin,yes,,cytotoxic,dna,pk saccharide,streptomyces,gram pos,BGC0000247,
mithramycin_2,yes,,cytotoxic,dna,pk saccharide,,gram pos,BGC0000246,
mitomycin,,,cytotoxic,,other,,,BGC0000915,
moenomycin,yes,,,peptidoglycan glycoyltransferase,saccharide,,gram pos,BGC0000805,
molybdenum_cofactor,,,nitrate reduction,,other,staphylococcus,,BGC0000916,
molybdenum_cofactor_2,,,nitrate reduction,,other,rhodobacter,,BGC0000917,
monensin,yes,,ionophore; antiparasite,,pk,,gram pos,BGC0000100,
mupirocin,yes,,,Ile tRNA synthetase,pk,pseudomonas,gram pos; some gram neg,BGC0000182,
muraymycin,yes,,,translocase,nrp pk,streptomyces,gram pos,BGC0001020,
mutacin_b_ny266,yes,,,,ripp,,gram pos,BGC0000530,
mutacin_i,yes,,,,ripp,,?,BGC0000531,
mutacin_ii,yes,,,,ripp,,?,BGC0000532,
mutacin_iii,yes,,,,ripp,,?,BGC0000533,
mutacin_k8,yes,,,,ripp,,?,BGC0000534,
mycinamicin,yes,,,,pk,,gram pos,BGC0000102,
mycobactin,,,siderophore; virulence,,nrp pk,mycobacterium,,BGC0001021,
mycolactone,,,cytotoxic; toxin; immunosuppresive,,pk,,,BGC0000103,
mycolic_acid,,,cell wall,,other,mycobacterium,,BGC0000870,
mycosubtilin,,yes,,,nrp pk,bacillus,,BGC0001103,
myxalamid,yes,yes,,electron transport,nrp pk,stigmatella,gram pos,BGC0001022,
myxochelin,,,siderophore,,nrp,stigmatella,,BGC0001345,
myxochromide,,,no observed antibiotic activity,,nrp pk,,,BGC0001023,
myxochromide_a,,,unknown,,nrp pk,,,BGC0001422,
myxochromide_a_2,,,unknown,,nrp pk,,,BGC0001425,
myxochromide_a_3,,,unknown,,nrp pk,,,BGC0001426,
myxochromide_a_4,,,unknown,,nrp pk,,,BGC0001427,
myxochromide_b,,,unknown,,nrp pk,,,BGC0001421,
myxochromide_c,,,unknown,,nrp pk,,,BGC0001423,
myxochromide_c_2,,,unknown,,nrp pk,,,BGC0001424,
myxochromide_d,,,unknown,,nrp pk,,,BGC0001417,
myxochromide_d_2,,,unknown,,nrp pk,,,BGC0001418,
myxochromide_d_3,,,unknown,,nrp pk,,,BGC0001419,
myxochromide_d_4,,,unknown,,nrp pk,,,BGC0001420,
myxochromide_d_5,,,unknown,,nrp pk,,,BGC0001432,
myxochromide_s,,,unknown,,nrp pk,,,BGC0001429,
myxochromide_s_2,,,unknown,,nrp pk,,,BGC0001430,
myxochromide_s_3,,,unknown,,nrp pk,,,BGC0001431,
myxoprincomide,,,predation,,nrp pk,myxococcus,,BGC0000393,
myxothiazol,,yes,cytotoxic,,nrp pk,,,BGC0001024,
myxovirescin,yes,,,,nrp pk,,gram pos; gram neg,BGC0001025,
myxovirescin_2,yes,,,,nrp pk,myxococcus,gram pos (some); gram neg,BGC0001104,
nanchangmycin,yes,,ionophore; antiviral; insecticidal,,pk,,?,BGC0000105,
nannocystin,,yes,cytotoxic,elongation factor 1a,nrp pk,,,BGC0001212,
naphthyridinomycin,yes,,antitumor; cytotoxic,dna synthesis,nrp,,gram pos; gram neg,BGC0000394,
napsamycin,yes,,,,nrp,,gram pos; pseudomonas only,BGC0000950,
naptocyclinone,yes,,,,pk,,?,BGC0000248,
napyradiomycin,yes,,,,pk,,gram pos,BGC0001079,
napyradiomycin_2,yes,,,estrogen receptor (agonist),terpene,streptomyces,gram pos,BGC0000652,
naringenin,,,unknown,,terpene,streptomyces,,BGC0001310,
natamycin,,yes,,,pk,,,BGC0000108,
nataxazole,,,antitumor; cytotoxic,,pk,streptomyces,,BGC0001213,
nemadectin,,,antiparasite; nematocidal,,pk,,,BGC0000109,
neoaureothin,,yes,antitumor,reverse transcriptase,polyketide,streptomyces,,BGC0000110,
neocarzilin,,,antitumor,,pk,,,BGC0000111,
neocarzinostatin,yes,,cytotoxic,DNA,polyketide,streptomyces,gram pos,BGC0000112,
neomycin,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos (partial),BGC0000709,
neomycin_2,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos (partial),BGC0000710,
neomycin_3,yes,,,ribosome,saccharide,streptomyces,gram neg; gram pos (partial),BGC0000711,
niddamycin,yes,,,,pk,,gram pos,BGC0000113,
nikkomycin,,yes,,,other,streptomyces,,BGC0000876,
nisin,yes,,signaling,,ripp,,gram pos; mycobacterium,BGC0000535,
nisin_q,yes,,,,ripp,lactococcus,gram pos,BGC0000536,
nisin_u,yes,,,,ripp,streptococcus,gram pos,BGC0000537,
nisin_z,yes,,,,ripp,lactococcus,gram pos,BGC0000538,
nocardicin,yes,,,,nrp,,gram neg; mycobacterium,BGC0000395,
nocardiopsin,,,unknown,,nrp pk,nocardiopsis,,BGC0001195,
nocathiacin,yes,,,,ripp,actinokineospora,gram pos; mycobacterium,BGC0000608,
nocathiacin_2,yes,,,,ripp,nocardia,gram pos; mycobacterium,BGC0000609,
nocobactin_na,,,siderophore; free radical scavenger,,nrp pk,nocardia,,BGC0001027,
nodularin,,,phytotoxin,,nrp,,,BGC0000396,
nogalamycin,yes,,cytotoxic; antitumor,dna,pk saccharide,streptomyces,gram pos,BGC0000250,
nogalamycin_2,yes,,cytotoxic; antitumor,dna,pk saccharide,,gram pos,BGC0000249,
nogalamycin_3,yes,,cytotoxic; antitumor,dna,pk saccharide,,gram pos,BGC0000251,
nonactin,yes,yes,ionophore; antitumor,NH4; K,pk,,gram pos,BGC0000252,
nonadecene,,,other,,pk,,,BGC0001160,
nosiheptide,yes,,,,ripp,streptomyces,gram pos,BGC0000610,
nosperin,,,unknown,,pk,,,BGC0001071,
nostocyclopeptide,no,no,weak antitumor,hepatocyte drug transpoter,nrp,,,BGC0000397,
nostopeptolide,,,differentiation,,nrp,,,BGC0001028,
nostophycin,,,weakly cytotoxic,,nrp,,,BGC0001029,
novobiocin,yes,,,DNA gyrase,saccharide,,gram pos,BGC0000834,
nucleocidin,yes,,antiparasite,,other,streptomyces,gram pos; gram neg,BGC0001387,
nukacin_isk1,yes,,,,ripp,staphylococcus,gram pos,BGC0000539,
nunapeptin,,yes,,,nrp,pseudomonas,,BGC0001416,
nystain_like_polyene,,yes,,,pk,,,BGC0000116,
nystatin,,yes,,membrane,polyketide,streptomyces,,BGC0000115,
o_and_k_antigen,,,capsule,,saccharide,vibrio,,BGC0000780,
o_antigen,,,capsule,,saccharide,pseudomonas,,BGC0000781,
o_antigen_10,,,capsule,,saccharide,escherichia,,BGC0000790,
o_antigen_11,,,capsule,,saccharide,cronobacter,,BGC0000791,
o_antigen_2,,,capsule,,saccharide,burkholderia,,BGC0000782,
o_antigen_3,,,capsule,,saccharide,xanthomonas,,BGC0000783,
o_antigen_4,,,capsule,,saccharide,pseudomonas,,BGC0000784,
o_antigen_5,,,capsule,,saccharide,burkholderia,,BGC0000785,
o_antigen_6,,,capsule,,saccharide,edwardsiella,,BGC0000786,
o_antigen_7,,,capsule,,saccharide,escherichia,,BGC0000787,
o_antigen_8,,,capsule,,saccharide,salmonella,,BGC0000788,
o_antigen_9,,,capsule,,saccharide,escherichia,,BGC0000789,
